BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t40,1.6102787229496315e6,39931.25234566327,-542452.646405187,0.0,0.0,0.0,9.227048406041324e-5,14557.903207444,-0.0,-1.1187638682836106e6,1.330427641008235e6,31527.381278445682,-542791.2298399027,0.0,0.0,0.0,8.619628181854213e-5,-15608.842371380078,-0.0,-784604.0073249765,395634.5153822247,29659.87467307955,-150815.67837773258,0.0,0.0,0.0,0.00010208767490931184,1050.9391639360783,-0.0,-270826.6360925557
t41,1.3755249952886691e6,55196.24759360469,-297693.9265500569,0.0,0.0,0.0,9.005962777623247e-5,13931.838794871586,-0.0,-1.1434077383435837e6,1.156656004189714e6,54209.70484525698,-381841.4880943571,0.0,0.0,0.0,8.559067803642079e-5,-16167.104773611136,-0.0,-793906.1787250576,327904.7479555241,38291.843665334854,-92356.43468597795,0.0,0.0,0.0,0.00010096111816353049,2235.2659787395496,-0.0,-271373.3556324774
t42,1.1100824408576086e6,72513.01064891726,-2.5174202547842777,0.0,0.0,0.0,9.022133585170052e-5,-33311.885818125724,-0.0,-1.1457301371082743e6,779874.7948087872,1.3357779804921843,-1.2500482961196933,0.0,0.0,0.0,8.46197076535573e-5,21822.029050719393,-0.0,-788629.5083986958,202622.3602998544,56984.839114330905,-0.43377599051888266,0.0,0.0,0.0,9.890056128010783e-5,11489.856767406329,-0.0,-268123.4117007205
t43,472902.7863222664,686049.1886231026,-2.7149814048711183,0.0,0.0,0.0,9.080004504058087e-5,-33311.85324922194,-0.0,-1.1220865081004205e6,241503.02600545084,501033.58122207236,-0.5172648036694497,0.0,0.0,0.0,8.560221430681517e-5,31182.14186192005,-0.0,-769130.6098043736,90080.54177906709,172629.93231309613,-0.42463121135232257,0.0,0.0,0.0,9.906580674963572e-5,2129.711387301888,-0.0,-261866.51029939417
t44,305844.91635662643,805139.2838154522,-0.09144095571351986,0.0,0.0,0.0,8.119335168181078e-5,-31640.064490432876,-0.0,-1.0757937426250384e6,153352.29306248657,566907.9397268682,-0.5066745991199756,0.0,0.0,0.0,8.712405352291676e-5,29583.533701484852,-0.0,-745255.6409737559,78712.31614050985,176970.05448644556,-0.4258235067636105,0.0,0.0,0.0,9.940551411429161e-5,2056.5307889480246,-0.0,-254765.23094196653
t45,312980.0315930565,750110.0295071856,-3.0451274866181595,0.0,0.0,0.0,8.031599141181003e-5,-33311.8594009872,-0.0,-1.0262243254271967e6,161545.6518755331,540403.6625041126,-0.5101171720372151,0.0,0.0,0.0,8.780719218764759e-5,31103.408865851587,-0.0,-728464.5869455391,71674.96260516567,180708.8121462285,-0.42758471274773235,0.0,0.0,0.0,9.906957977235176e-5,2208.4505351356165,-0.0,-251618.55625663928
t46,318473.3399759096,692351.242298863,-2.9313406101577364,0.0,0.0,0.0,8.093547560710087e-5,-33311.86365603404,-0.0,-973958.8561980679,153902.90096548665,503421.99242740945,-0.5162650270974707,0.0,0.0,0.0,8.941665649760873e-5,31066.53394543621,-0.0,-683803.2844925178,67596.83429021217,174496.03779591992,-0.43172268220257004,0.0,0.0,0.0,9.937820873986949e-5,2245.329710597827,-0.0,-241364.5275523297
t47,331769.5114970631,596615.5783141111,-2.814330041217019,0.0,0.0,0.0,8.302610980545378e-5,-33311.86470279451,-0.0,-891519.448563341,144484.6867677681,449894.2006191841,-0.5231109220968985,0.0,0.0,0.0,9.205232018868274e-5,31079.33575510713,-0.0,-620870.0755141907,62262.5702147894,159067.76721745645,-0.4352910609085193,0.0,0.0,0.0,9.908876284437503e-5,2232.5289476873804,-0.0,-220589.18503530437
t48,349034.94060108514,487701.57294818625,-2.7294965322887705,0.0,0.0,0.0,8.594068018835964e-5,-33311.86498500874,-0.0,-799870.9250349645,135880.97223344847,403380.28055183863,-0.5201476800697598,0.0,0.0,0.0,9.426664982629977e-5,31127.387715223784,-0.0,-565800.4955102013,64401.041435796215,137070.68770236394,-0.43754679146020375,0.0,0.0,0.0,9.876815970461212e-5,2184.4772697849567,-0.0,-200682.5191205991
t49,360297.6548531639,403323.5953377611,-2.7905215966539645,0.0,0.0,0.0,8.870043805734168e-5,-33311.86560536979,-0.0,-726755.6035297633,126708.50717352351,374421.45033826464,-0.5165265257608961,0.0,0.0,0.0,9.679990341128039e-5,31179.611247930803,-0.0,-527721.4312993427,61793.21215953633,125400.61489943086,-0.4372700148280261,0.0,0.0,0.0,9.928472157680664e-5,2132.2543574389892,-0.0,-186352.39251309537
t50,369053.8174109352,343710.4577199152,-2.929739721188292,0.0,0.0,0.0,9.065446470824961e-5,-33311.866233967085,-0.0,-675898.5196901128,130992.88017858828,344674.4242911838,-0.5103119849231661,0.0,0.0,0.0,9.789458236785843e-5,31244.120976396778,-0.0,-502323.2999002906,64655.243240796815,113321.01180134593,-0.43670630728465526,0.0,0.0,0.0,9.949141999145214e-5,2067.7452575703082,-0.0,-177070.30965753552
t51,372983.6438591641,306904.91939734935,-2.9753367504117545,0.0,0.0,0.0,9.168221248684288e-5,-33311.86685229579,-0.0,-643022.780741434,142971.5932899306,318391.3048187868,-0.5039221211140164,0.0,0.0,0.0,9.791356176349482e-5,31277.93116788861,-0.0,-488052.71726507833,61181.45257175101,111640.85078089347,-0.43470436714025934,0.0,0.0,0.0,9.866562199467344e-5,2033.9356844071772,-0.0,-171882.54868983387
