,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional NG,Syn NG Plant Emissions,Syn NG,Bio NG,Conventional Liquid Fuels,Synfuel Plant Emissions,Synfuels,Biofuels,Ethylene Emissions,Total
t60,2.7865263916836622,0.38008114121011455,-0.10955125521067816,16843.763277891252,0.0,-77304.93494871612,0.09235693136954594,0.14464562604762837,0.02856410578475712,12295.466938139061,3317.252541071667,7230.884194052916,6489.610279859121,4187.558464085199,179.18056271441745,-26757.896067961603
t61,2.933326756620892,0.3800859966944175,-0.10892681464042707,16843.766192404273,0.0,-77304.9470673483,0.0901508036071253,0.14332943481775087,0.028328227706371927,12295.469418112663,3317.2494676344477,7230.886677103136,6489.613052828451,4187.558527606591,179.18058257216063,-26757.756854681775
t62,3.312285612604269,0.38025199342519755,-0.10297125223930012,16843.77051527303,0.0,-77304.97070817077,0.0933120940649478,0.12008379459095853,0.024199581476965066,12295.471638135281,3317.2859805458434,7230.853103669202,6489.560729000899,4187.559573417973,179.181649928098,-26757.460356376527
t63,3.725951369505147,0.3802479405229288,-0.1023785743724361,16843.769714241607,0.0,-77304.96717854755,0.09384687181747604,0.12072575258157728,0.024266503887723223,12295.47102279356,3317.286236764644,7230.854293050127,6489.561985739664,4187.5595422652395,179.18165970055367,-26757.040064128214
t64,11424.755803567416,0.38024772559073067,-0.10231513396590665,16843.77044212878,0.0,-77304.96929099892,0.0930841272955526,0.12061233134625104,0.02420846468706634,12295.471865577068,3317.282783312092,7230.856532459315,6489.564889990523,4187.559520149815,179.1816663749427,-15336.009949924022
t65,42005.79599732026,0.3802183023814764,-0.09700394135467572,16843.762174125906,0.0,-77304.970035941,0.10905696439709699,0.13360371371426932,0.025670482501749775,12295.456454019179,3317.289516547632,7230.853137415787,6489.555822788119,4187.561959786629,179.1825960601455,15245.039167644292
t66,49870.83765346891,0.3802158766024882,-0.09011926862933034,16843.74157499143,0.0,-77304.93850327254,0.1395185730689046,0.13674533691597485,0.02604085564524883,12295.42671590145,3317.287284348698,7230.859862241641,6489.55913320951,4187.562638065539,179.18355803726496,23110.112318365507
t67,51078.0505998034,0.3802223277396754,-0.08886874695946814,16843.738820370105,0.0,-77304.92638993335,0.14135776422948482,0.13748457461005295,0.026122070756046285,12295.42467604737,3317.286459454351,7230.860858344046,6489.56049217254,4187.562552522271,179.18354576378985,24317.337932534898
t68,51079.38236898101,0.38019848651532834,-0.0774858128678811,16843.70991184963,0.0,-77304.76131575719,0.1483047496204425,0.13952542382401223,0.02650009991682454,12295.41948421526,3317.281513883533,7230.8635880226,6489.560026546167,4187.569843095039,179.18508799593295,24318.827551778995
t69,51078.35713971278,0.38021692441012805,-0.08931725652300616,16843.730832022942,0.0,-77304.88063170866,0.1432351032887667,0.13933840340929315,0.02664042875571699,12295.42218749681,3317.2770244306976,7230.863920574854,6489.566188213739,4187.562259134644,179.18347498192992,24317.682508463076
