,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional NG,Syn NG Plant Emissions,Syn NG,Bio NG,Conventional Liquid Fuels,Synfuel Plant Emissions,Synfuels,Biofuels,Ethylene Emissions,Total
t70,51078.3689599922,0.38020418179475335,-0.09088557920507323,16843.732168694525,0.0,-77304.8836080606,0.14167459847671002,0.138348483304742,0.02653521797447116,12295.423863726406,3317.2686291845857,7230.865703718116,6489.56993148279,4187.56222613918,179.18345404197032,24317.687205821523
t71,51078.33319444441,0.3802058184099603,-0.09109683806255876,16843.73368520926,0.0,-77304.8897015147,0.1404245337034905,0.13776893738890866,0.0264931775496743,12295.425167938125,3317.262362748507,7230.8671417134865,6489.572633067072,4187.562268180158,179.18344786360825,24317.64399527891
t72,51078.252175915884,0.3802099760167716,-0.0912499258444289,16843.73520298797,0.0,-77304.89529878733,0.13906394774465677,0.13712540337654314,0.026429504880586773,12295.426601267214,3317.2572487787493,7230.868390293718,6489.574942746363,4187.5622959305265,179.18344939216382,24317.55658743142
t73,51078.215123488655,0.38021252308520387,-0.09133508390733483,16843.734558191445,0.0,-77304.89358033918,0.13977036822695554,0.1375822211121073,0.02648975811511222,12295.425829680165,3317.259562914406,7230.867818138283,6489.57378596088,4187.562322751677,179.1834399167766,24317.521580489738
t74,51078.09443751139,0.3802136599135073,-0.0913384909223156,16843.73520295686,0.0,-77304.89591768873,0.1391828272010128,0.1373388916873417,0.026465995521259684,12295.426452066202,3317.2585478907954,7230.867980082828,6489.574108186766,4187.56234226426,179.18343031971844,24317.398446473486
t75,51077.875078311874,0.3802143692653541,-0.09137010774000325,16843.736645232064,0.0,-77304.90065967104,0.13777404356735012,0.13663763162357428,0.026387346039925114,12295.427962220296,3317.25624082338,7230.868351640151,6489.574993368233,4187.562353930228,179.18342620230726,24317.174035340257
t76,51077.51428391543,0.38021488707465273,-0.09123131926759577,16843.736619092073,0.0,-77304.90159468837,0.13811526888589798,0.1370101569933811,0.026436447762967077,12295.42769948716,3317.2597498573314,7230.867330924766,6489.572862746481,4187.56237221708,179.18337511561273,24316.81324410901
t77,48240.524035303046,0.38022148758642604,-0.0918165222095699,16843.745640179797,0.0,-77304.9308827022,0.1284281474961113,0.13661256965857815,0.02639466630217406,12295.437213812918,3317.2647836879464,7230.865909234601,6489.569865389409,4187.562414681932,179.18333956972862,21479.802159506
t78,45086.64916710413,0.38023313131981873,-0.09408928749297989,16843.749631806197,0.0,-77304.92652591922,0.11906924335853564,0.13339541037103306,0.026107107310205123,12295.445635386026,3317.265320986169,7230.863853827884,6489.571919878945,4187.561175496101,179.1828004306886,18325.927694601785
t79,39877.66096558753,0.3802477277897283,-0.10701479559777859,16843.766964948492,0.0,-77304.94522373866,0.09097366926103258,0.13325711363107612,0.026074217938936113,12295.472384201083,3317.271711181148,7230.860225977728,6489.571487519515,4187.56041121844,179.1815663672449,13116.924031195542
t80,39877.09753060194,0.38024022417061953,-0.10519099858796549,16843.76482030274,0.0,-77304.9399758905,0.09375125054478192,0.13369656591696874,0.026139232623638833,12295.469734239201,3317.2738738345233,7230.859710777344,6489.570264662252,4187.56041333498,179.1817766875672,13116.366784824708
t81,39877.565424209686,0.3802381304771637,-0.09830358511199644,16843.749217427394,0.0,-77304.89672088008,0.11263943136060289,0.133485893246825,0.026097327515232978,12295.451533100635,3317.2763940945647,7230.859442267435,6489.566781187044,4187.560445898479,179.18242214979085,13116.869096652443
t82,44977.11568480723,0.3802259729281625,-0.09646596001712147,16843.738824499596,0.0,-77304.86744544814,0.12516827786713539,0.13488556580040056,0.026257410711818946,12295.439538803721,3317.2764258863026,7230.863625459315,6489.56971338269,4187.560459798801,179.182857690303,18216.44975614711
t83,44979.738713202736,0.38022874037762133,-0.09638779887049319,16843.73993180124,0.0,-77304.86818619883,0.12299463536326419,0.13476309599553768,0.026225542159605226,12295.441422178359,3317.2763124256935,7230.863671374821,6489.5699429287615,4187.56042963268,179.18267675117963,18219.07273831167
