Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
SE_utilitypv_class1_moderate_70_0_2_5,1,0.0,0.0,955444.5146886468,955444.5146886468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.369693948672545e9,2.8605454586856728e9,0.34177420061331665,0.0
SE_utilitypv_class1_moderate_70_0_2_6,1,0.0,0.0,5.415928334500286,5.415928334500286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47443.5322102225,9389.284243419132,0.19790440985327928,0.0
SE_utilitypv_class1_moderate_70_0_2_7,1,0.0,0.0,9.493506414053249,9.493506414053249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83163.11618710645,17495.10145906076,0.21037092236537894,0.0
SE_utilitypv_class1_moderate_70_0_2_8,1,0.0,0.0,989512.425735014,989512.425735014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.668128849438723e9,2.9333443523996286e9,0.33840571631437716,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_1,2,0.0,0.0,26782.949720913275,26782.949720913275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3461863955520028e8,6.250746169470566e7,0.26642155036449744,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_2,2,0.0,0.0,288616.81602119276,288616.81602119276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.528283308345649e9,7.364387871690967e8,0.2912801681434097,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_3,2,0.0,0.0,115698.92902249483,115698.92902249483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135226182370547e9,2.849925657763334e8,0.28119013887628497,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_4,2,0.0,0.0,996250.0036505535,996250.0036505535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72715003197885e9,2.516337698385406e9,0.2883344149195102,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_5,2,0.0,0.0,188848.27964137134,188848.27964137134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654310929658413e9,4.0873616169011974e8,0.24707336109694736,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_6,2,0.0,0.0,71.49757518785431,71.49757518785431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626318.7586456038,139241.3337741181,0.22231704200465505,0.0
